run_id,model_name,dataset_name,num_epochs,learning_rate,batch_size,dataset_size,dataset_phase_sizes,best_auc,best_epoch,best_acc,best_acc_epoch,best_loss,best_loss_epoch,dropout,device,training_duration_seconds,Unnamed: 0,max_audio_seconds,sample_rate,weight_decay,stft_frame_length,stft_frame_step,n_mels,mel_fmin,mel_fmax,label_set_training,class_weighting_on,flocal_loss_on,focal_loss_on,balanced_cry_types,early_stopping_epoch,run_desc,run_time,balanced_cry_types_augmented,balanced_cry_types_by_removal,balanced_cry_types_spec_augmentation,balanced_cry_types_mixup_augmentation
1.0,CryLSTMClassifier,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.541500798596266,0.0,,,1.08258223527997,6.0,,cpu,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
1.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.505506055799418,8.0,,,1.08282832139381,6.0,0.4,mps,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
2.0,CryLSTMClassifierB,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.660369357415983,9.0,,,1.01356895135571,9.0,,cpu,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
3.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.505506055799418,8.0,,,1.08282832139381,6.0,0.4,mps,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
4.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.505506055799418,8.0,,,1.08282832139381,6.0,0.4,mps,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
5.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.505506055799418,8.0,,,1.08282832139381,6.0,0.4,mps,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
5.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.505506055799418,8.0,,,1.08282832139381,6.0,0.4,mps,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
6.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.505506055799418,8.0,,,1.08282832139381,6.0,0.4,mps,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
6.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.505506055799418,8.0,,,1.08282832139381,6.0,0.4,mps,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
7.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.505506055799418,8.0,,,1.08282832139381,6.0,0.4,mps,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
7.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.505506055799418,8.0,,,1.08282832139381,6.0,0.4,mps,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
8.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,50.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.510955328408989,8.0,,,1.08286548781936,7.0,0.2,mps,,,1.5,22050.0,0.0001,1024.0,320.0,128.0,20.0,8000.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
9.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.611568681148834,7.0,,,1.0416137892436,8.0,0.3,mps,326.438757896423,,1.5,22050.0,0.0001,512.0,128.0,64.0,20.0,11025.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
10.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.611568681148834,7.0,,,1.0416137892436,8.0,0.3,mps,326.438757896423,,1.5,22050.0,0.0001,512.0,128.0,64.0,20.0,11025.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
11.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.611568681148834,7.0,,,1.0416137892436,8.0,0.3,mps,326.438757896423,,1.5,22050.0,0.0001,512.0,128.0,64.0,20.0,11025.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
12.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.62228994115853,8.0,,,1.03627469842736,7.0,0.3,mps,344.641050100327,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
13.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.62228994115853,8.0,,,1.03627469842736,7.0,0.3,mps,344.641050100327,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
14.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.529904326483891,2.0,,,1.08522939698908,6.0,0.3,mps,423.401479959488,,2.0,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
15.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.526814919099573,0.0,0.409735349716446,7.0,1.08497637234248,8.0,0.3,mps,420.773177862167,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'lo', 'hu'}",,,,,,,,,,,
16.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.556985527781066,1.0,0.438563327032136,1.0,1.08666906504415,1.0,0.3,mps,421.120215177536,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'lo', 'hu'}",True,,,,,,,,,,
17.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.556985527781066,1.0,0.438563327032136,1.0,1.08666906504415,1.0,0.3,mps,421.120215177536,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'lo', 'hu'}",True,,,,,,,,,,
18.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.599705958227044,3.0,0.460538752362949,1.0,1.05496071794533,1.0,0.3,mps,314.637367963791,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'hu', 'lo'}",False,,,,,,,,,,
19.0,CryLSTMConvClassifier,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.535010026169578,8.0,0.421077504725898,3.0,1.09368986381475,8.0,0.3,mps,563.098776817322,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'hu', 'lo'}",True,,,,,,,,,,
20.0,CryLSTMConvClassifier,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.511308478454614,0.0,0.419187145557656,0.0,0.137884745751076,1.0,0.3,mps,582.251611709595,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'hu', 'lo'}",True,True,True,,,,,,,,
24.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.560627018881351,1.0,0.445179584120983,1.0,1.08472123139297,1.0,0.5,mps,473.201667785645,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'hu', 'lo'}",True,True,False,,,,,,,,
25.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.534095949170148,0.0,0.351734104046243,0.0,1.09813949448525,0.0,0.5,mps,128.65128326416,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'hu', 'lo'}",False,,False,True,,,,,,,
26.0,CryLSTMClassifierBatchNorm,EnesBabyCries1B,10.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.635835899515329,6.0,0.460693641618497,6.0,1.0468675232347,6.0,0.2,mps,227.028454065323,,1.5,22050.0,0.0001,512.0,128.0,80.0,20.0,11025.0,"{'dc', 'hu', 'lo'}",False,,False,True,,,,,,,
